"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9222","should complete login flow and redirect to hello page","WebKit","Thu Nov 13 16:37:23 UTC 2025","passed","Thu Nov 13 16:37:32 UTC 2025","Civic Auth Applications","Login","",""
"","11541","should complete full login and logout flow","Chromium","Thu Nov 13 16:36:34 UTC 2025","passed","Thu Nov 13 16:36:46 UTC 2025","Civic Auth Applications","Login","",""
"","6870","should complete login flow and redirect to hello page","WebKit","Thu Nov 13 16:37:56 UTC 2025","passed","Thu Nov 13 16:38:03 UTC 2025","Civic Auth Applications","Login","",""
"","8265","should call onSignIn callback and handle sign-out correctly","Chromium","Thu Nov 13 16:37:08 UTC 2025","passed","Thu Nov 13 16:37:16 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","6891","should complete full login and logout flow","Firefox","Thu Nov 13 16:37:48 UTC 2025","passed","Thu Nov 13 16:37:55 UTC 2025","Civic Auth Applications","Login","",""
"","19507","should complete login flow and redirect to customSuccessRoute","Firefox","Thu Nov 13 16:36:24 UTC 2025","passed","Thu Nov 13 16:36:43 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","3756","should call onSignIn callback with error on failed sign-in","WebKit","Thu Nov 13 16:41:19 UTC 2025","passed","Thu Nov 13 16:41:23 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","9135","should complete email verification flow","Chromium","Thu Nov 13 16:37:15 UTC 2025","passed","Thu Nov 13 16:37:24 UTC 2025","Civic Auth Applications","Email","",""
"","10733","should complete login flow and redirect to customSuccessRoute","WebKit","Thu Nov 13 16:36:37 UTC 2025","passed","Thu Nov 13 16:36:48 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","8823","should complete login flow and redirect to hello page","Firefox","Thu Nov 13 16:36:37 UTC 2025","passed","Thu Nov 13 16:36:46 UTC 2025","Civic Auth Applications","Login","",""
"","10656","should call useUser onSignIn callback on successful sign-in","Chromium","Thu Nov 13 16:37:14 UTC 2025","passed","Thu Nov 13 16:37:25 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","37615","should handle refresh token flow correctly","WebKit","Thu Nov 13 16:42:51 UTC 2025","failed","Thu Nov 13 16:43:29 UTC 2025","Civic Auth Applications","Refresh Token","",""
